[rosmaster.main][INFO] 2017-10-09 14:51:45,839: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 14:51:45,839: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 14:51:45,843: XML-RPC server binding to 0.0.0.0:43460
[xmlrpc][INFO] 2017-10-09 14:51:45,847: Started XML-RPC server [http://ip-172-31-19-100:43460/]
[rosmaster.master][INFO] 2017-10-09 14:51:45,847: Master initialized: port[43460], uri[http://ip-172-31-19-100:43460/]
[xmlrpc][INFO] 2017-10-09 14:51:45,851: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 14:51:45,945: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:45,953: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__36271] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:46,065: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:46,074: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:55020/
[rosmaster.master][INFO] 2017-10-09 14:51:46,079: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:46,085: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:55020/
[rosmaster.master][INFO] 2017-10-09 14:51:46,094: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:55020/
[rosmaster.master][INFO] 2017-10-09 14:51:46,103: +SUB [/rosout] /rosout http://ip-172-31-19-100:55020/
[rosmaster.master][INFO] 2017-10-09 14:51:46,389: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,393: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,398: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,405: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,412: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,416: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,420: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,424: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,435: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,444: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:46,444: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55020/
[rosmaster.master][INFO] 2017-10-09 14:51:46,454: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:58977/
[rosmaster.master][INFO] 2017-10-09 14:51:47,949: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__56984] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,956: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,960: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,963: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,967: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,970: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,980: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,989: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:47,992: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:48,010: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:60727/
[rosmaster.master][INFO] 2017-10-09 14:51:48,015: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:51:48,019: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:60727/
