[rosmaster.main][INFO] 2017-10-09 15:56:12,764: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:56:12,764: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:56:12,769: XML-RPC server binding to 0.0.0.0:44183
[xmlrpc][INFO] 2017-10-09 15:56:12,773: Started XML-RPC server [http://ip-172-31-19-100:44183/]
[rosmaster.master][INFO] 2017-10-09 15:56:12,773: Master initialized: port[44183], uri[http://ip-172-31-19-100:44183/]
[xmlrpc][INFO] 2017-10-09 15:56:12,776: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:56:12,860: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:12,868: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__40879] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:12,962: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:12,965: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:12,973: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:12,979: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:12,985: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:12,994: +SUB [/rosout] /rosout http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:13,082: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,087: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,093: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,100: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,112: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,116: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,123: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,127: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,131: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,140: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,146: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:38837/
[rosmaster.master][INFO] 2017-10-09 15:56:13,169: publisherUpdate[/rosout] -> http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:14,626: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__37433] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,632: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,640: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,643: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,646: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,650: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,654: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,657: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,661: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,664: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:56:14,822: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:51231/
[rosmaster.master][INFO] 2017-10-09 15:56:14,828: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:51231/
[rosmaster.master][INFO] 2017-10-09 15:56:14,836: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:51231/
[rosmaster.master][INFO] 2017-10-09 15:56:14,847: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:51231/
[rosmaster.master][INFO] 2017-10-09 15:56:14,872: publisherUpdate[/rosout] -> http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:15,289: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:58437/
[rosmaster.master][INFO] 2017-10-09 15:56:15,307: +PUB [/rosout] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,316: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:58437/
[rosmaster.master][INFO] 2017-10-09 15:56:15,322: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:58437/
[rosmaster.master][INFO] 2017-10-09 15:56:15,326: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,331: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,335: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,340: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,344: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,348: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,357: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,362: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,372: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,373: publisherUpdate[/rosout] -> http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:15,377: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,384: publisherUpdate[/rosout] -> http://ip-172-31-19-100:49809/
[rosmaster.master][INFO] 2017-10-09 15:56:15,388: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,395: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,399: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,404: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,408: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,412: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,417: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,421: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,426: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,430: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,435: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,439: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,444: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,448: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:15,452: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-19-100:53730/
[rosmaster.master][INFO] 2017-10-09 15:56:17,878: +PUB [/rosout] /project2_solution http://ip-172-31-19-100:43084/
[rosmaster.master][INFO] 2017-10-09 15:56:17,882: publisherUpdate[/rosout] -> http://ip-172-31-19-100:49809/
