[rosmaster.main][INFO] 2017-10-09 16:10:51,284: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:10:51,284: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:10:51,288: XML-RPC server binding to 0.0.0.0:59287
[xmlrpc][INFO] 2017-10-09 16:10:51,292: Started XML-RPC server [http://ip-172-31-19-100:59287/]
[rosmaster.master][INFO] 2017-10-09 16:10:51,292: Master initialized: port[59287], uri[http://ip-172-31-19-100:59287/]
[xmlrpc][INFO] 2017-10-09 16:10:51,295: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:10:51,404: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:51,413: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__56991] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:51,510: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:51,514: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:51,521: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:51994/
[rosmaster.master][INFO] 2017-10-09 16:10:51,525: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:51994/
[rosmaster.master][INFO] 2017-10-09 16:10:51,535: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:51994/
[rosmaster.master][INFO] 2017-10-09 16:10:51,544: +SUB [/rosout] /rosout http://ip-172-31-19-100:51994/
[rosmaster.master][INFO] 2017-10-09 16:10:51,658: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,671: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,675: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,683: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,689: publisherUpdate[/rosout] -> http://ip-172-31-19-100:51994/
[rosmaster.master][INFO] 2017-10-09 16:10:51,691: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,704: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,709: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,713: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,717: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,726: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:51,733: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:58566/
[rosmaster.master][INFO] 2017-10-09 16:10:53,154: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__45800] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,161: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,173: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,176: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,180: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,184: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,191: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,198: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,202: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,205: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:10:53,350: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:58318/
[rosmaster.master][INFO] 2017-10-09 16:10:53,354: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:58318/
[rosmaster.master][INFO] 2017-10-09 16:10:53,358: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:58318/
[rosmaster.master][INFO] 2017-10-09 16:10:53,363: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:58318/
[rosmaster.master][INFO] 2017-10-09 16:10:53,392: publisherUpdate[/rosout] -> http://ip-172-31-19-100:51994/
[rosmaster.master][INFO] 2017-10-09 16:10:53,865: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:47506/
[rosmaster.master][INFO] 2017-10-09 16:10:53,879: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:47506/
[rosmaster.master][INFO] 2017-10-09 16:10:53,883: +PUB [/rosout] /rosapi http://ip-172-31-19-100:55981/
[rosmaster.master][INFO] 2017-10-09 16:10:53,886: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:47506/
[rosmaster.master][INFO] 2017-10-09 16:10:53,893: publisherUpdate[/rosout] -> http://ip-172-31-19-100:51994/
