[rosmaster.main][INFO] 2017-10-09 16:18:02,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:18:02,789: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:18:02,793: XML-RPC server binding to 0.0.0.0:37008
[xmlrpc][INFO] 2017-10-09 16:18:02,797: Started XML-RPC server [http://ip-172-31-19-100:37008/]
[rosmaster.master][INFO] 2017-10-09 16:18:02,797: Master initialized: port[37008], uri[http://ip-172-31-19-100:37008/]
[xmlrpc][INFO] 2017-10-09 16:18:02,800: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:18:02,892: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:02,905: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__35423] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:03,002: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:03,005: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:03,019: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:43910/
[rosmaster.master][INFO] 2017-10-09 16:18:03,025: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,029: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:43910/
[rosmaster.master][INFO] 2017-10-09 16:18:03,032: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,036: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:43910/
[rosmaster.master][INFO] 2017-10-09 16:18:03,040: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,045: +SUB [/rosout] /rosout http://ip-172-31-19-100:43910/
[rosmaster.master][INFO] 2017-10-09 16:18:03,055: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,063: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,067: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,071: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,075: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,079: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,088: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:03,095: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:43728/
[rosmaster.master][INFO] 2017-10-09 16:18:04,561: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__55049] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,568: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,572: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,575: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,579: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,582: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,585: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,589: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,592: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,596: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:18:04,655: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:59705/
[rosmaster.master][INFO] 2017-10-09 16:18:04,661: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:59705/
[rosmaster.master][INFO] 2017-10-09 16:18:04,666: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:59705/
[rosmaster.master][INFO] 2017-10-09 16:18:04,671: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:59705/
[rosmaster.master][INFO] 2017-10-09 16:18:04,696: publisherUpdate[/rosout] -> http://ip-172-31-19-100:43910/
[rosmaster.master][INFO] 2017-10-09 16:18:05,212: +PUB [/rosout] /rosapi http://ip-172-31-19-100:38938/
[rosmaster.master][INFO] 2017-10-09 16:18:05,216: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 16:18:05,228: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:38938/
[rosmaster.master][INFO] 2017-10-09 16:18:05,237: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 16:18:05,241: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:38938/
