[rosmaster.main][INFO] 2017-10-09 15:06:35,151: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:06:35,151: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:06:35,155: XML-RPC server binding to 0.0.0.0:40401
[xmlrpc][INFO] 2017-10-09 15:06:35,158: Started XML-RPC server [http://ip-172-31-19-100:40401/]
[rosmaster.master][INFO] 2017-10-09 15:06:35,159: Master initialized: port[40401], uri[http://ip-172-31-19-100:40401/]
[xmlrpc][INFO] 2017-10-09 15:06:35,162: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:06:35,266: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:35,289: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__45014] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:35,392: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:35,402: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:35,440: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:35,451: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:35,461: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:35,470: +SUB [/rosout] /rosout http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:35,591: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,609: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,617: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,624: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,631: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,635: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,639: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,643: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,656: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:35,660: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,672: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:35,678: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:37,097: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__52001] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,104: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,108: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,112: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,116: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,129: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,135: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,139: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,143: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,147: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:06:37,242: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:53702/
[rosmaster.master][INFO] 2017-10-09 15:06:37,246: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:53702/
[rosmaster.master][INFO] 2017-10-09 15:06:37,251: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:53702/
[rosmaster.master][INFO] 2017-10-09 15:06:37,257: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:53702/
[rosmaster.master][INFO] 2017-10-09 15:06:37,258: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:37,839: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:06:37,853: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:06:37,857: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:06:37,859: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:37,870: +PUB [/rosout] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,871: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:37,893: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,899: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,906: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,911: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,915: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,929: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,934: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,938: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,951: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,957: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,962: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,969: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,977: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,984: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,989: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:37,994: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,008: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,016: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,020: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,025: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,030: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,036: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,040: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,046: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:38,057: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-19-100:54179/
[rosmaster.master][INFO] 2017-10-09 15:06:40,221: +PUB [/rosout] /project2_solution http://ip-172-31-19-100:44088/
[rosmaster.master][INFO] 2017-10-09 15:06:40,222: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:06:40,235: +SERVICE [/project2_solution/get_loggers] /project2_solution http://ip-172-31-19-100:44088/
[rosmaster.master][INFO] 2017-10-09 15:06:40,240: +SERVICE [/project2_solution/set_logger_level] /project2_solution http://ip-172-31-19-100:44088/
[rosmaster.master][INFO] 2017-10-09 15:06:40,244: +PUB [/tf] /project2_solution http://ip-172-31-19-100:44088/
[rosmaster.master][INFO] 2017-10-09 15:06:40,274: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:44,824: +PUB [/tf2_web_republisher/goal] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:06:44,838: publisherUpdate[/tf2_web_republisher/goal] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:44,872: +PUB [/tf2_web_republisher/cancel] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:06:44,883: publisherUpdate[/tf2_web_republisher/cancel] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:06:44,920: +SUB [/tf2_web_republisher/feedback] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:06:44,940: +SUB [/visualization_marker] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:07:22,483: -PUB [/rosout] /project2_solution http://ip-172-31-19-100:44088/
[rosmaster.master][INFO] 2017-10-09 15:07:22,483: -PUB [/tf] /project2_solution http://ip-172-31-19-100:44088/
[rosmaster.master][INFO] 2017-10-09 15:07:22,487: -SERVICE [/project2_solution/get_loggers] /project2_solution rosrpc://ip-172-31-19-100:36998
[rosmaster.master][INFO] 2017-10-09 15:07:22,491: -SERVICE [/project2_solution/set_logger_level] /project2_solution rosrpc://ip-172-31-19-100:36998
[rosmaster.master][INFO] 2017-10-09 15:07:22,553: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:07:22,557: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:08:20,934: +PUB [/rosout] /project2_solution http://ip-172-31-19-100:53565/
[rosmaster.master][INFO] 2017-10-09 15:08:20,948: +SERVICE [/project2_solution/get_loggers] /project2_solution http://ip-172-31-19-100:53565/
[rosmaster.master][INFO] 2017-10-09 15:08:20,953: +SERVICE [/project2_solution/set_logger_level] /project2_solution http://ip-172-31-19-100:53565/
[rosmaster.master][INFO] 2017-10-09 15:08:20,953: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:08:20,957: +PUB [/tf] /project2_solution http://ip-172-31-19-100:53565/
[rosmaster.master][INFO] 2017-10-09 15:08:20,961: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:08:23,231: -PUB [/rosout] /project2_solution http://ip-172-31-19-100:53565/
[rosmaster.master][INFO] 2017-10-09 15:08:23,239: -PUB [/tf] /project2_solution http://ip-172-31-19-100:53565/
[rosmaster.master][INFO] 2017-10-09 15:08:23,244: -SERVICE [/project2_solution/get_loggers] /project2_solution rosrpc://ip-172-31-19-100:36412
[rosmaster.master][INFO] 2017-10-09 15:08:23,247: -SERVICE [/project2_solution/set_logger_level] /project2_solution rosrpc://ip-172-31-19-100:36412
[rosmaster.master][INFO] 2017-10-09 15:08:23,261: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:08:23,265: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:08:51,457: +PUB [/rosout] /project2_solution http://ip-172-31-19-100:47380/
[rosmaster.master][INFO] 2017-10-09 15:08:51,476: +SERVICE [/project2_solution/get_loggers] /project2_solution http://ip-172-31-19-100:47380/
[rosmaster.master][INFO] 2017-10-09 15:08:51,487: +SERVICE [/project2_solution/set_logger_level] /project2_solution http://ip-172-31-19-100:47380/
[rosmaster.master][INFO] 2017-10-09 15:08:51,493: +PUB [/tf] /project2_solution http://ip-172-31-19-100:47380/
[rosmaster.master][INFO] 2017-10-09 15:08:51,514: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:08:51,518: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:08:52,006: -PUB [/rosout] /project2_solution http://ip-172-31-19-100:47380/
[rosmaster.master][INFO] 2017-10-09 15:08:52,011: -PUB [/tf] /project2_solution http://ip-172-31-19-100:47380/
[rosmaster.master][INFO] 2017-10-09 15:08:52,015: -SERVICE [/project2_solution/get_loggers] /project2_solution rosrpc://ip-172-31-19-100:58564
[rosmaster.master][INFO] 2017-10-09 15:08:52,019: -SERVICE [/project2_solution/set_logger_level] /project2_solution rosrpc://ip-172-31-19-100:58564
[rosmaster.master][INFO] 2017-10-09 15:08:52,020: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:08:52,029: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:09:24,038: +PUB [/rosout] /project2_solution http://ip-172-31-19-100:44567/
[rosmaster.master][INFO] 2017-10-09 15:09:24,049: +SERVICE [/project2_solution/get_loggers] /project2_solution http://ip-172-31-19-100:44567/
[rosmaster.master][INFO] 2017-10-09 15:09:24,054: +SERVICE [/project2_solution/set_logger_level] /project2_solution http://ip-172-31-19-100:44567/
[rosmaster.master][INFO] 2017-10-09 15:09:24,059: +PUB [/tf] /project2_solution http://ip-172-31-19-100:44567/
[rosmaster.master][INFO] 2017-10-09 15:09:24,087: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:09:24,087: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:09:24,575: -PUB [/rosout] /project2_solution http://ip-172-31-19-100:44567/
[rosmaster.master][INFO] 2017-10-09 15:09:24,578: -PUB [/tf] /project2_solution http://ip-172-31-19-100:44567/
[rosmaster.master][INFO] 2017-10-09 15:09:24,582: -SERVICE [/project2_solution/get_loggers] /project2_solution rosrpc://ip-172-31-19-100:56014
[rosmaster.master][INFO] 2017-10-09 15:09:24,585: -SERVICE [/project2_solution/set_logger_level] /project2_solution rosrpc://ip-172-31-19-100:56014
[rosmaster.master][INFO] 2017-10-09 15:09:24,595: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:09:24,596: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:11:12,692: +PUB [/rosout] /project2_solution http://ip-172-31-19-100:60161/
[rosmaster.master][INFO] 2017-10-09 15:11:12,709: +SERVICE [/project2_solution/get_loggers] /project2_solution http://ip-172-31-19-100:60161/
[rosmaster.master][INFO] 2017-10-09 15:11:12,727: +SERVICE [/project2_solution/set_logger_level] /project2_solution http://ip-172-31-19-100:60161/
[rosmaster.master][INFO] 2017-10-09 15:11:12,746: +PUB [/tf] /project2_solution http://ip-172-31-19-100:60161/
[rosmaster.master][INFO] 2017-10-09 15:11:12,778: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:11:12,779: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:11:13,282: -PUB [/rosout] /project2_solution http://ip-172-31-19-100:60161/
[rosmaster.master][INFO] 2017-10-09 15:11:13,282: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:11:13,285: -PUB [/tf] /project2_solution http://ip-172-31-19-100:60161/
[rosmaster.master][INFO] 2017-10-09 15:11:13,289: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:11:13,292: -SERVICE [/project2_solution/get_loggers] /project2_solution rosrpc://ip-172-31-19-100:44018
[rosmaster.master][INFO] 2017-10-09 15:11:13,299: -SERVICE [/project2_solution/set_logger_level] /project2_solution rosrpc://ip-172-31-19-100:44018
[rosmaster.master][INFO] 2017-10-09 15:11:25,067: +PUB [/rosout] /project2_solution http://ip-172-31-19-100:42745/
[rosmaster.master][INFO] 2017-10-09 15:11:25,086: +SERVICE [/project2_solution/get_loggers] /project2_solution http://ip-172-31-19-100:42745/
[rosmaster.master][INFO] 2017-10-09 15:11:25,091: +SERVICE [/project2_solution/set_logger_level] /project2_solution http://ip-172-31-19-100:42745/
[rosmaster.master][INFO] 2017-10-09 15:11:25,095: +PUB [/tf] /project2_solution http://ip-172-31-19-100:42745/
[rosmaster.master][INFO] 2017-10-09 15:11:25,116: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:11:25,127: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:11:28,234: -PUB [/rosout] /project2_solution http://ip-172-31-19-100:42745/
[rosmaster.master][INFO] 2017-10-09 15:11:28,237: -PUB [/tf] /project2_solution http://ip-172-31-19-100:42745/
[rosmaster.master][INFO] 2017-10-09 15:11:28,240: -SERVICE [/project2_solution/get_loggers] /project2_solution rosrpc://ip-172-31-19-100:57381
[rosmaster.master][INFO] 2017-10-09 15:11:28,245: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53504/
[rosmaster.master][INFO] 2017-10-09 15:11:28,250: publisherUpdate[/tf] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:11:28,250: -SERVICE [/project2_solution/set_logger_level] /project2_solution rosrpc://ip-172-31-19-100:57381
[rosmaster.master][INFO] 2017-10-09 15:11:32,995: -PUB [/tf2_web_republisher/cancel] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:11:33,007: -PUB [/tf2_web_republisher/goal] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:11:33,025: -SUB [/tf2_web_republisher/feedback] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:11:33,037: -SUB [/visualization_marker] /rosbridge_websocket http://ip-172-31-19-100:58516/
[rosmaster.master][INFO] 2017-10-09 15:11:33,057: publisherUpdate[/tf2_web_republisher/cancel] -> http://ip-172-31-19-100:60534/
[rosmaster.master][INFO] 2017-10-09 15:11:33,061: publisherUpdate[/tf2_web_republisher/goal] -> http://ip-172-31-19-100:60534/
