[rosmaster.main][INFO] 2017-10-09 14:16:43,482: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 14:16:43,482: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 14:16:43,487: XML-RPC server binding to 0.0.0.0:43854
[xmlrpc][INFO] 2017-10-09 14:16:43,490: Started XML-RPC server [http://ip-172-31-19-100:43854/]
[rosmaster.master][INFO] 2017-10-09 14:16:43,490: Master initialized: port[43854], uri[http://ip-172-31-19-100:43854/]
[xmlrpc][INFO] 2017-10-09 14:16:43,494: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 14:16:43,591: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:16:43,603: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__48041] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:16:43,700: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:16:43,702: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:37616/
[rosmaster.master][INFO] 2017-10-09 14:16:43,704: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:16:43,709: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:37616/
[rosmaster.master][INFO] 2017-10-09 14:16:43,718: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:37616/
[rosmaster.master][INFO] 2017-10-09 14:16:43,727: +SUB [/rosout] /rosout http://ip-172-31-19-100:37616/
[rosmaster.master][INFO] 2017-10-09 14:16:43,991: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:43,996: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,001: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,008: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,016: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,020: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,024: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,029: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,033: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,042: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,050: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:35933/
[rosmaster.master][INFO] 2017-10-09 14:16:44,087: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37616/
[rosmaster.master][INFO] 2017-10-09 14:16:45,557: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__51600] by /roslaunch
