[rosmaster.main][INFO] 2017-10-09 15:50:01,392: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:50:01,392: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:50:01,399: XML-RPC server binding to 0.0.0.0:49206
[xmlrpc][INFO] 2017-10-09 15:50:01,403: Started XML-RPC server [http://ip-172-31-19-100:49206/]
[rosmaster.master][INFO] 2017-10-09 15:50:01,403: Master initialized: port[49206], uri[http://ip-172-31-19-100:49206/]
[xmlrpc][INFO] 2017-10-09 15:50:01,406: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:50:01,509: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:50:01,518: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__58708] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:50:01,626: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:50:01,630: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:50:01,637: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:55175/
[rosmaster.master][INFO] 2017-10-09 15:50:01,649: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:55175/
[rosmaster.master][INFO] 2017-10-09 15:50:01,657: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:55175/
[rosmaster.master][INFO] 2017-10-09 15:50:01,667: +SUB [/rosout] /rosout http://ip-172-31-19-100:55175/
[rosmaster.master][INFO] 2017-10-09 15:50:01,804: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:56375/
[rosmaster.master][INFO] 2017-10-09 15:50:01,810: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:56375/
[rosmaster.master][INFO] 2017-10-09 15:50:01,814: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:56375/
