[rosmaster.main][INFO] 2017-10-09 16:11:51,065: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:11:51,065: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:11:51,070: XML-RPC server binding to 0.0.0.0:44601
[xmlrpc][INFO] 2017-10-09 16:11:51,074: Started XML-RPC server [http://ip-172-31-19-100:44601/]
[rosmaster.master][INFO] 2017-10-09 16:11:51,074: Master initialized: port[44601], uri[http://ip-172-31-19-100:44601/]
[xmlrpc][INFO] 2017-10-09 16:11:51,078: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:11:51,171: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:11:51,179: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__35122] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:11:51,286: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:11:51,290: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:11:51,296: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:51958/
[rosmaster.master][INFO] 2017-10-09 16:11:51,303: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:51958/
[rosmaster.master][INFO] 2017-10-09 16:11:51,311: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:51958/
[rosmaster.master][INFO] 2017-10-09 16:11:51,320: +SUB [/rosout] /rosout http://ip-172-31-19-100:51958/
[rosmaster.master][INFO] 2017-10-09 16:11:51,566: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:47432/
[rosmaster.master][INFO] 2017-10-09 16:11:51,570: publisherUpdate[/rosout] -> http://ip-172-31-19-100:51958/
[rosmaster.master][INFO] 2017-10-09 16:11:51,578: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:47432/
[rosmaster.master][INFO] 2017-10-09 16:11:51,585: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:47432/
[rosmaster.master][INFO] 2017-10-09 16:11:51,593: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:47432/
[rosmaster.master][INFO] 2017-10-09 16:11:51,600: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:47432/
