[rosmaster.main][INFO] 2017-10-09 10:13:57,128: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 10:13:57,128: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 10:13:57,133: XML-RPC server binding to 0.0.0.0:49679
[xmlrpc][INFO] 2017-10-09 10:13:57,137: Started XML-RPC server [http://ip-172-31-19-100:49679/]
[rosmaster.master][INFO] 2017-10-09 10:13:57,137: Master initialized: port[49679], uri[http://ip-172-31-19-100:49679/]
[xmlrpc][INFO] 2017-10-09 10:13:57,140: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 10:13:57,234: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 10:13:57,242: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__35685] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 10:13:57,338: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 10:13:57,342: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 10:13:57,348: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:39968/
[rosmaster.master][INFO] 2017-10-09 10:13:57,353: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:39968/
[rosmaster.master][INFO] 2017-10-09 10:13:57,365: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:39968/
[rosmaster.master][INFO] 2017-10-09 10:13:57,374: +SUB [/rosout] /rosout http://ip-172-31-19-100:39968/
[rosmaster.master][INFO] 2017-10-09 10:13:57,655: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:58507/
[rosmaster.master][INFO] 2017-10-09 10:13:57,660: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:58507/
[rosmaster.master][INFO] 2017-10-09 10:13:57,664: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:58507/
[rosmaster.master][INFO] 2017-10-09 10:13:57,675: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:58507/
[rosmaster.master][INFO] 2017-10-09 10:13:57,687: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:58507/
