[rosmaster.main][INFO] 2017-10-09 14:53:11,766: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 14:53:11,767: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 14:53:11,771: XML-RPC server binding to 0.0.0.0:44986
[xmlrpc][INFO] 2017-10-09 14:53:11,777: Started XML-RPC server [http://ip-172-31-19-100:44986/]
[rosmaster.master][INFO] 2017-10-09 14:53:11,777: Master initialized: port[44986], uri[http://ip-172-31-19-100:44986/]
[xmlrpc][INFO] 2017-10-09 14:53:11,781: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 14:53:11,887: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:53:11,895: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__44876] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:53:12,035: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:53:12,037: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:57943/
[rosmaster.master][INFO] 2017-10-09 14:53:12,040: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:53:12,045: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:57943/
[rosmaster.master][INFO] 2017-10-09 14:53:12,057: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:57943/
[rosmaster.master][INFO] 2017-10-09 14:53:12,066: +SUB [/rosout] /rosout http://ip-172-31-19-100:57943/
[rosmaster.master][INFO] 2017-10-09 14:53:12,228: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,239: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,243: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,251: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,258: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,262: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,267: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,271: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,271: publisherUpdate[/rosout] -> http://ip-172-31-19-100:57943/
[rosmaster.master][INFO] 2017-10-09 14:53:12,275: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,287: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:12,294: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:45053/
[rosmaster.master][INFO] 2017-10-09 14:53:13,845: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__55198] by /roslaunch
