[rosmaster.main][INFO] 2017-10-09 16:20:16,845: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:20:16,846: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:20:16,857: XML-RPC server binding to 0.0.0.0:38395
[xmlrpc][INFO] 2017-10-09 16:20:16,861: Started XML-RPC server [http://ip-172-31-19-100:38395/]
[rosmaster.master][INFO] 2017-10-09 16:20:16,861: Master initialized: port[38395], uri[http://ip-172-31-19-100:38395/]
[xmlrpc][INFO] 2017-10-09 16:20:16,868: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:20:16,949: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:20:16,967: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__48374] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:20:17,079: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:20:17,083: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:20:17,088: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:53179/
[rosmaster.master][INFO] 2017-10-09 16:20:17,092: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:53179/
[rosmaster.master][INFO] 2017-10-09 16:20:17,099: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:53179/
[rosmaster.master][INFO] 2017-10-09 16:20:17,108: +SUB [/rosout] /rosout http://ip-172-31-19-100:53179/
[rosmaster.master][INFO] 2017-10-09 16:20:17,187: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,192: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,196: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,204: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,212: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,217: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,221: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,226: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,230: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,240: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,247: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:33108/
[rosmaster.master][INFO] 2017-10-09 16:20:17,257: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53179/
[rosmaster.master][INFO] 2017-10-09 16:20:18,689: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__52836] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:20:18,696: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:20:18,699: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:20:18,703: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
