[rosmaster.main][INFO] 2017-10-09 16:13:07,765: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:13:07,765: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:13:07,769: XML-RPC server binding to 0.0.0.0:52893
[xmlrpc][INFO] 2017-10-09 16:13:07,773: Started XML-RPC server [http://ip-172-31-19-100:52893/]
[rosmaster.master][INFO] 2017-10-09 16:13:07,773: Master initialized: port[52893], uri[http://ip-172-31-19-100:52893/]
[xmlrpc][INFO] 2017-10-09 16:13:07,777: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:13:07,877: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:07,897: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__35717] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:07,995: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:08,005: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:08,005: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:48991/
[rosmaster.master][INFO] 2017-10-09 16:13:08,012: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:48991/
[rosmaster.master][INFO] 2017-10-09 16:13:08,020: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:48991/
[rosmaster.master][INFO] 2017-10-09 16:13:08,029: +SUB [/rosout] /rosout http://ip-172-31-19-100:48991/
[rosmaster.master][INFO] 2017-10-09 16:13:08,118: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,123: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,127: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,136: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,143: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,147: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,151: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,155: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,159: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,168: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:08,169: publisherUpdate[/rosout] -> http://ip-172-31-19-100:48991/
[rosmaster.master][INFO] 2017-10-09 16:13:08,174: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:48408/
[rosmaster.master][INFO] 2017-10-09 16:13:09,618: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__47681] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,626: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,629: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,632: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,636: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,639: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,643: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,646: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,650: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,653: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:13:09,790: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:35801/
[rosmaster.master][INFO] 2017-10-09 16:13:09,794: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:35801/
[rosmaster.master][INFO] 2017-10-09 16:13:09,808: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:35801/
[rosmaster.master][INFO] 2017-10-09 16:13:09,812: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:35801/
[rosmaster.master][INFO] 2017-10-09 16:13:09,872: publisherUpdate[/rosout] -> http://ip-172-31-19-100:48991/
[rosmaster.master][INFO] 2017-10-09 16:13:10,333: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:34777/
[rosmaster.master][INFO] 2017-10-09 16:13:10,348: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:34777/
