[rosmaster.main][INFO] 2017-10-09 16:06:19,270: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:06:19,270: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:06:19,277: XML-RPC server binding to 0.0.0.0:49983
[xmlrpc][INFO] 2017-10-09 16:06:19,281: Started XML-RPC server [http://ip-172-31-19-100:49983/]
[rosmaster.master][INFO] 2017-10-09 16:06:19,281: Master initialized: port[49983], uri[http://ip-172-31-19-100:49983/]
[xmlrpc][INFO] 2017-10-09 16:06:19,285: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:06:19,374: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:06:19,387: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__60701] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:06:19,478: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:06:19,489: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:40034/
[rosmaster.master][INFO] 2017-10-09 16:06:19,492: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:06:19,496: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:40034/
[rosmaster.master][INFO] 2017-10-09 16:06:19,506: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:40034/
[rosmaster.master][INFO] 2017-10-09 16:06:19,522: +SUB [/rosout] /rosout http://ip-172-31-19-100:40034/
[rosmaster.master][INFO] 2017-10-09 16:06:19,683: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,687: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,700: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,714: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,721: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,730: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,734: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,739: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,744: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,754: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,762: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:39709/
[rosmaster.master][INFO] 2017-10-09 16:06:19,777: publisherUpdate[/rosout] -> http://ip-172-31-19-100:40034/
[rosmaster.master][INFO] 2017-10-09 16:06:21,148: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__54554] by /roslaunch
