[rosmaster.main][INFO] 2017-10-09 14:40:40,941: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 14:40:40,942: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 14:40:40,946: XML-RPC server binding to 0.0.0.0:55579
[xmlrpc][INFO] 2017-10-09 14:40:40,950: Started XML-RPC server [http://ip-172-31-19-100:55579/]
[rosmaster.master][INFO] 2017-10-09 14:40:40,950: Master initialized: port[55579], uri[http://ip-172-31-19-100:55579/]
[xmlrpc][INFO] 2017-10-09 14:40:40,953: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 14:40:41,048: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:41,056: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__50091] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:41,152: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:41,157: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:41,161: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:53808/
[rosmaster.master][INFO] 2017-10-09 14:40:41,166: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:53808/
[rosmaster.master][INFO] 2017-10-09 14:40:41,172: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:53808/
[rosmaster.master][INFO] 2017-10-09 14:40:41,181: +SUB [/rosout] /rosout http://ip-172-31-19-100:53808/
[rosmaster.master][INFO] 2017-10-09 14:40:41,485: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,489: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,493: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,501: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,508: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,512: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,516: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,526: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,530: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,539: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,546: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:52982/
[rosmaster.master][INFO] 2017-10-09 14:40:41,546: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53808/
[rosmaster.master][INFO] 2017-10-09 14:40:43,026: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__60938] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,033: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,036: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,040: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,043: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,047: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,050: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,053: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,057: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,061: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:40:43,156: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:39800/
[rosmaster.master][INFO] 2017-10-09 14:40:43,160: publisherUpdate[/rosout] -> http://ip-172-31-19-100:53808/
[rosmaster.master][INFO] 2017-10-09 14:40:43,161: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:39800/
[rosmaster.master][INFO] 2017-10-09 14:40:43,169: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:39800/
[rosmaster.master][INFO] 2017-10-09 14:40:43,174: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:39800/
[rosmaster.master][INFO] 2017-10-09 14:40:43,676: +PUB [/rosout] /rosapi http://ip-172-31-19-100:58670/
[rosmaster.master][INFO] 2017-10-09 14:40:43,680: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:47248/
[rosmaster.master][INFO] 2017-10-09 14:40:43,689: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:58670/
