[rosmaster.main][INFO] 2017-10-09 13:36:20,048: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 13:36:20,048: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 13:36:20,053: XML-RPC server binding to 0.0.0.0:54216
[xmlrpc][INFO] 2017-10-09 13:36:20,056: Started XML-RPC server [http://ip-172-31-19-100:54216/]
[rosmaster.master][INFO] 2017-10-09 13:36:20,056: Master initialized: port[54216], uri[http://ip-172-31-19-100:54216/]
[xmlrpc][INFO] 2017-10-09 13:36:20,060: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 13:36:20,149: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:20,160: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__37263] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:20,294: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:20,298: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:20,307: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:20,313: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:20,321: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:20,330: +SUB [/rosout] /rosout http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:20,560: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,564: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,572: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,581: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,589: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,596: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,602: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,606: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,617: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,626: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,634: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:40876/
[rosmaster.master][INFO] 2017-10-09 13:36:20,654: publisherUpdate[/rosout] -> http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:22,050: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__39710] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,064: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,068: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,073: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,077: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,080: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,083: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,087: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,093: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,096: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 13:36:22,519: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:37924/
[rosmaster.master][INFO] 2017-10-09 13:36:22,524: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:37924/
[rosmaster.master][INFO] 2017-10-09 13:36:22,528: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:37924/
[rosmaster.master][INFO] 2017-10-09 13:36:22,534: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:37924/
[rosmaster.master][INFO] 2017-10-09 13:36:22,557: publisherUpdate[/rosout] -> http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:22,776: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:50013/
[rosmaster.master][INFO] 2017-10-09 13:36:22,789: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:50013/
[rosmaster.master][INFO] 2017-10-09 13:36:22,793: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:50013/
[rosmaster.master][INFO] 2017-10-09 13:36:22,820: +PUB [/rosout] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,835: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,840: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,845: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,849: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,855: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,858: publisherUpdate[/rosout] -> http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:22,866: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,869: publisherUpdate[/rosout] -> http://ip-172-31-19-100:50973/
[rosmaster.master][INFO] 2017-10-09 13:36:22,874: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,881: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,886: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,891: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,896: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,901: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,912: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,916: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,920: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,925: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-19-100:42670/
[rosmaster.master][INFO] 2017-10-09 13:36:22,929: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-19-100:42670/
