[rosmaster.main][INFO] 2017-10-09 15:30:52,329: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:30:52,329: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:30:52,335: XML-RPC server binding to 0.0.0.0:60753
[xmlrpc][INFO] 2017-10-09 15:30:52,339: Started XML-RPC server [http://ip-172-31-19-100:60753/]
[rosmaster.master][INFO] 2017-10-09 15:30:52,339: Master initialized: port[60753], uri[http://ip-172-31-19-100:60753/]
[xmlrpc][INFO] 2017-10-09 15:30:52,349: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:30:52,414: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:52,426: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__60746] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:52,533: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:52,536: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:52,543: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:52,548: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:52,554: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:52,568: +SUB [/rosout] /rosout http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:52,737: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,742: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,746: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,755: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,762: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,766: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,774: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,778: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,782: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,792: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,807: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:50612/
[rosmaster.master][INFO] 2017-10-09 15:30:52,835: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:54,282: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__39898] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,289: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,293: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,302: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,305: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,309: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,313: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,316: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,320: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,324: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:30:54,561: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:50780/
[rosmaster.master][INFO] 2017-10-09 15:30:54,565: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:50780/
[rosmaster.master][INFO] 2017-10-09 15:30:54,577: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:50780/
[rosmaster.master][INFO] 2017-10-09 15:30:54,583: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:50780/
[rosmaster.master][INFO] 2017-10-09 15:30:54,638: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:54,986: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:46663/
[rosmaster.master][INFO] 2017-10-09 15:30:54,999: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:46663/
[rosmaster.master][INFO] 2017-10-09 15:30:55,003: +PUB [/rosout] /rosapi http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 15:30:55,006: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:46663/
[rosmaster.master][INFO] 2017-10-09 15:30:55,040: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:55,048: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 15:30:55,049: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55137/
[rosmaster.master][INFO] 2017-10-09 15:30:55,053: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 15:30:55,062: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 15:30:55,067: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 15:30:55,071: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 15:30:55,076: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-19-100:49930/
[rosmaster.master][INFO] 2017-10-09 15:30:55,084: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-19-100:49930/
