[rosmaster.main][INFO] 2017-10-09 15:59:42,251: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:59:42,251: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:59:42,255: XML-RPC server binding to 0.0.0.0:56828
[xmlrpc][INFO] 2017-10-09 15:59:42,259: Started XML-RPC server [http://ip-172-31-19-100:56828/]
[rosmaster.master][INFO] 2017-10-09 15:59:42,259: Master initialized: port[56828], uri[http://ip-172-31-19-100:56828/]
[xmlrpc][INFO] 2017-10-09 15:59:42,262: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:59:42,363: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:42,373: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__59434] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:42,473: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:42,477: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:42,482: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:51360/
[rosmaster.master][INFO] 2017-10-09 15:59:42,486: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:51360/
[rosmaster.master][INFO] 2017-10-09 15:59:42,496: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:51360/
[rosmaster.master][INFO] 2017-10-09 15:59:42,508: +SUB [/rosout] /rosout http://ip-172-31-19-100:51360/
[rosmaster.master][INFO] 2017-10-09 15:59:42,645: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,653: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,656: publisherUpdate[/rosout] -> http://ip-172-31-19-100:51360/
[rosmaster.master][INFO] 2017-10-09 15:59:42,660: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,689: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,698: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,702: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,706: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,711: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,719: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,731: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:42,741: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:39646/
[rosmaster.master][INFO] 2017-10-09 15:59:44,182: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__53706] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:44,189: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:44,192: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:44,195: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:59:44,199: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
