[rosmaster.main][INFO] 2017-10-09 15:17:15,336: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:17:15,336: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:17:15,347: XML-RPC server binding to 0.0.0.0:54177
[xmlrpc][INFO] 2017-10-09 15:17:15,351: Started XML-RPC server [http://ip-172-31-19-100:54177/]
[rosmaster.master][INFO] 2017-10-09 15:17:15,351: Master initialized: port[54177], uri[http://ip-172-31-19-100:54177/]
[xmlrpc][INFO] 2017-10-09 15:17:15,355: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:17:15,451: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:17:15,460: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__56407] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:17:15,566: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:17:15,570: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:17:15,575: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:55466/
[rosmaster.master][INFO] 2017-10-09 15:17:15,579: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:55466/
[rosmaster.master][INFO] 2017-10-09 15:17:15,585: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:55466/
[rosmaster.master][INFO] 2017-10-09 15:17:15,593: +SUB [/rosout] /rosout http://ip-172-31-19-100:55466/
[rosmaster.master][INFO] 2017-10-09 15:17:15,738: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,743: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,747: publisherUpdate[/rosout] -> http://ip-172-31-19-100:55466/
[rosmaster.master][INFO] 2017-10-09 15:17:15,748: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,766: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,773: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,778: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,782: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,787: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,792: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,802: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:15,810: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:59355/
[rosmaster.master][INFO] 2017-10-09 15:17:17,407: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__56994] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:17:17,417: +PARAM [/rosbridge_websocket/port] by /roslaunch
