[rosmaster.main][INFO] 2017-10-09 15:03:08,554: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:03:08,554: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:03:08,558: XML-RPC server binding to 0.0.0.0:38184
[xmlrpc][INFO] 2017-10-09 15:03:08,562: Started XML-RPC server [http://ip-172-31-19-100:38184/]
[rosmaster.master][INFO] 2017-10-09 15:03:08,563: Master initialized: port[38184], uri[http://ip-172-31-19-100:38184/]
[xmlrpc][INFO] 2017-10-09 15:03:08,566: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:03:08,657: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:08,665: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__57685] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:08,783: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:08,795: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:59877/
[rosmaster.master][INFO] 2017-10-09 15:03:08,825: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:08,831: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:59877/
[rosmaster.master][INFO] 2017-10-09 15:03:08,844: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:59877/
[rosmaster.master][INFO] 2017-10-09 15:03:08,860: +SUB [/rosout] /rosout http://ip-172-31-19-100:59877/
[rosmaster.master][INFO] 2017-10-09 15:03:09,058: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,059: publisherUpdate[/rosout] -> http://ip-172-31-19-100:59877/
[rosmaster.master][INFO] 2017-10-09 15:03:09,072: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,080: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,088: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,095: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,099: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,103: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,108: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,113: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,121: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:09,128: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:39888/
[rosmaster.master][INFO] 2017-10-09 15:03:10,678: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__49127] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,693: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,697: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,701: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,704: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,708: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,712: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,716: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,719: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,723: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:03:10,893: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:40340/
[rosmaster.master][INFO] 2017-10-09 15:03:10,898: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:40340/
[rosmaster.master][INFO] 2017-10-09 15:03:10,902: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:40340/
[rosmaster.master][INFO] 2017-10-09 15:03:10,917: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:40340/
[rosmaster.master][INFO] 2017-10-09 15:03:10,962: publisherUpdate[/rosout] -> http://ip-172-31-19-100:59877/
[rosmaster.master][INFO] 2017-10-09 15:03:11,348: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:49381/
[rosmaster.master][INFO] 2017-10-09 15:03:11,363: publisherUpdate[/rosout] -> http://ip-172-31-19-100:59877/
[rosmaster.master][INFO] 2017-10-09 15:03:11,411: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:49381/
[rosmaster.master][INFO] 2017-10-09 15:03:11,420: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:49381/
[rosmaster.master][INFO] 2017-10-09 15:03:11,424: +PUB [/rosout] /rosapi http://ip-172-31-19-100:57313/
[rosmaster.master][INFO] 2017-10-09 15:03:11,439: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:57313/
[rosmaster.master][INFO] 2017-10-09 15:03:11,452: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:57313/
[rosmaster.master][INFO] 2017-10-09 15:03:11,457: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-19-100:57313/
[rosmaster.master][INFO] 2017-10-09 15:03:11,462: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-19-100:57313/
[rosmaster.master][INFO] 2017-10-09 15:03:11,467: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-19-100:57313/
