[rosmaster.main][INFO] 2017-10-09 16:29:44,995: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:29:44,995: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:29:45,000: XML-RPC server binding to 0.0.0.0:36278
[xmlrpc][INFO] 2017-10-09 16:29:45,003: Started XML-RPC server [http://ip-172-31-19-100:36278/]
[rosmaster.master][INFO] 2017-10-09 16:29:45,004: Master initialized: port[36278], uri[http://ip-172-31-19-100:36278/]
[xmlrpc][INFO] 2017-10-09 16:29:45,007: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:29:45,089: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:45,097: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__47952] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:45,242: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:45,252: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:47627/
[rosmaster.master][INFO] 2017-10-09 16:29:45,253: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:45,258: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:47627/
[rosmaster.master][INFO] 2017-10-09 16:29:45,264: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,268: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:47627/
[rosmaster.master][INFO] 2017-10-09 16:29:45,272: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,277: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,280: +SUB [/rosout] /rosout http://ip-172-31-19-100:47627/
[rosmaster.master][INFO] 2017-10-09 16:29:45,285: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,292: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,296: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,300: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,304: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,308: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,316: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:45,323: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:35676/
[rosmaster.master][INFO] 2017-10-09 16:29:46,796: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__52425] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,803: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,807: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,810: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,814: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,824: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,828: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,843: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,858: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:46,869: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:29:47,071: +PUB [/rosout] /marker_publisher http://ip-172-31-19-100:43281/
[rosmaster.master][INFO] 2017-10-09 16:29:47,075: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-19-100:43281/
[rosmaster.master][INFO] 2017-10-09 16:29:47,081: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-19-100:43281/
[rosmaster.master][INFO] 2017-10-09 16:29:47,086: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-19-100:43281/
[rosmaster.master][INFO] 2017-10-09 16:29:47,104: publisherUpdate[/rosout] -> http://ip-172-31-19-100:47627/
[rosmaster.master][INFO] 2017-10-09 16:29:47,538: +PUB [/rosout] /rosbridge_websocket http://ip-172-31-19-100:35821/
[rosmaster.master][INFO] 2017-10-09 16:29:47,551: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ip-172-31-19-100:35821/
[rosmaster.master][INFO] 2017-10-09 16:29:47,555: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ip-172-31-19-100:35821/
[rosmaster.master][INFO] 2017-10-09 16:29:47,605: publisherUpdate[/rosout] -> http://ip-172-31-19-100:47627/
[rosmaster.master][INFO] 2017-10-09 16:29:47,623: +PUB [/rosout] /rosapi http://ip-172-31-19-100:52549/
[rosmaster.master][INFO] 2017-10-09 16:29:47,637: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-19-100:52549/
[rosmaster.master][INFO] 2017-10-09 16:29:47,643: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-19-100:52549/
