[rosmaster.main][INFO] 2017-10-09 15:54:05,786: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 15:54:05,786: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 15:54:05,791: XML-RPC server binding to 0.0.0.0:56336
[xmlrpc][INFO] 2017-10-09 15:54:05,795: Started XML-RPC server [http://ip-172-31-19-100:56336/]
[rosmaster.master][INFO] 2017-10-09 15:54:05,796: Master initialized: port[56336], uri[http://ip-172-31-19-100:56336/]
[xmlrpc][INFO] 2017-10-09 15:54:05,802: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 15:54:05,898: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:05,908: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__37493] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:05,997: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:06,003: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:06,006: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:56619/
[rosmaster.master][INFO] 2017-10-09 15:54:06,012: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:56619/
[rosmaster.master][INFO] 2017-10-09 15:54:06,018: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:56619/
[rosmaster.master][INFO] 2017-10-09 15:54:06,026: +SUB [/rosout] /rosout http://ip-172-31-19-100:56619/
[rosmaster.master][INFO] 2017-10-09 15:54:06,203: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,224: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,229: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,237: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,243: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,248: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,252: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,256: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,260: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,269: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,276: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-19-100:49621/
[rosmaster.master][INFO] 2017-10-09 15:54:06,292: publisherUpdate[/rosout] -> http://ip-172-31-19-100:56619/
[rosmaster.master][INFO] 2017-10-09 15:54:07,882: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__45532] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:07,890: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:07,894: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:07,899: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:07,904: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:07,913: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:07,917: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 15:54:07,921: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
