[rosmaster.main][INFO] 2017-10-09 16:23:13,937: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 16:23:13,937: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 16:23:13,941: XML-RPC server binding to 0.0.0.0:33757
[xmlrpc][INFO] 2017-10-09 16:23:13,945: Started XML-RPC server [http://ip-172-31-19-100:33757/]
[rosmaster.master][INFO] 2017-10-09 16:23:13,946: Master initialized: port[33757], uri[http://ip-172-31-19-100:33757/]
[xmlrpc][INFO] 2017-10-09 16:23:13,949: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 16:23:14,024: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:23:14,040: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__49803] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:23:14,141: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:42158/
[rosmaster.master][INFO] 2017-10-09 16:23:14,148: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:42158/
[rosmaster.master][INFO] 2017-10-09 16:23:14,153: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:42158/
[rosmaster.master][INFO] 2017-10-09 16:23:14,162: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:42158/
[rosmaster.master][INFO] 2017-10-09 16:23:14,168: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:23:14,173: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:42158/
[rosmaster.master][INFO] 2017-10-09 16:23:14,179: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 16:23:14,183: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:41070/
[rosmaster.master][INFO] 2017-10-09 16:23:14,192: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:42158/
[rosmaster.master][INFO] 2017-10-09 16:23:14,196: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:41070/
