[rosmaster.main][INFO] 2017-10-09 14:58:28,767: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-09 14:58:28,767: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-09 14:58:28,779: XML-RPC server binding to 0.0.0.0:41707
[xmlrpc][INFO] 2017-10-09 14:58:28,782: Started XML-RPC server [http://ip-172-31-19-100:41707/]
[rosmaster.master][INFO] 2017-10-09 14:58:28,783: Master initialized: port[41707], uri[http://ip-172-31-19-100:41707/]
[xmlrpc][INFO] 2017-10-09 14:58:28,786: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-09 14:58:28,892: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:58:28,901: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__59394] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:58:29,006: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:58:29,009: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-09 14:58:29,016: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:33891/
[rosmaster.master][INFO] 2017-10-09 14:58:29,020: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:33891/
[rosmaster.master][INFO] 2017-10-09 14:58:29,026: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:33891/
[rosmaster.master][INFO] 2017-10-09 14:58:29,034: +SUB [/rosout] /rosout http://ip-172-31-19-100:33891/
[rosmaster.master][INFO] 2017-10-09 14:58:29,209: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,213: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,217: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,225: +SUB [/tf] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,239: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,243: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,248: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,252: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-19-100:60276/
[rosmaster.master][INFO] 2017-10-09 14:58:29,256: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-19-100:60276/
