[rosmaster.main][INFO] 2017-10-02 08:59:38,577: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-02 08:59:38,577: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-02 08:59:38,582: XML-RPC server binding to 0.0.0.0:49466
[xmlrpc][INFO] 2017-10-02 08:59:38,587: Started XML-RPC server [http://ip-172-31-19-100:49466/]
[rosmaster.master][INFO] 2017-10-02 08:59:38,587: Master initialized: port[49466], uri[http://ip-172-31-19-100:49466/]
[xmlrpc][INFO] 2017-10-02 08:59:38,590: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-02 08:59:38,685: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 08:59:38,767: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__54154] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 08:59:38,868: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:48847/
[rosmaster.master][INFO] 2017-10-02 08:59:38,872: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 08:59:38,873: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:48847/
[rosmaster.master][INFO] 2017-10-02 08:59:38,876: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 08:59:38,882: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:48847/
[rosmaster.master][INFO] 2017-10-02 08:59:38,892: +SUB [/rosout] /rosout http://ip-172-31-19-100:48847/
[rosmaster.master][INFO] 2017-10-02 08:59:50,893: +PUB [/two_ints] /two_int_talker_12609_1506959990827 http://ip-172-31-19-100:49315/
[rosmaster.master][INFO] 2017-10-02 08:59:50,986: +PUB [/rosout] /two_int_talker_12609_1506959990827 http://ip-172-31-19-100:49315/
[rosmaster.master][INFO] 2017-10-02 08:59:51,002: +SERVICE [/two_int_talker_12609_1506959990827/get_loggers] /two_int_talker_12609_1506959990827 http://ip-172-31-19-100:49315/
[rosmaster.master][INFO] 2017-10-02 08:59:51,003: publisherUpdate[/rosout] -> http://ip-172-31-19-100:48847/
[rosmaster.master][INFO] 2017-10-02 08:59:51,007: +SERVICE [/two_int_talker_12609_1506959990827/set_logger_level] /two_int_talker_12609_1506959990827 http://ip-172-31-19-100:49315/
[rosmaster.master][INFO] 2017-10-02 09:02:15,975: +PUB [/rosout] /listener_13686_1506960135819 http://ip-172-31-19-100:35968/
