[rosmaster.main][INFO] 2017-10-02 09:28:42,229: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-02 09:28:42,229: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-02 09:28:42,233: XML-RPC server binding to 0.0.0.0:47885
[xmlrpc][INFO] 2017-10-02 09:28:42,236: Started XML-RPC server [http://ip-172-31-19-100:47885/]
[rosmaster.master][INFO] 2017-10-02 09:28:42,237: Master initialized: port[47885], uri[http://ip-172-31-19-100:47885/]
[xmlrpc][INFO] 2017-10-02 09:28:42,240: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-02 09:28:42,331: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 09:28:42,338: +PARAM [/roslaunch/uris/host_ip_172_31_19_100__56993] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 09:28:42,431: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-19-100:37459/
[rosmaster.master][INFO] 2017-10-02 09:28:42,432: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 09:28:42,435: +SERVICE [/rosout/set_logger_level] /rosout http://ip-172-31-19-100:37459/
[rosmaster.master][INFO] 2017-10-02 09:28:42,438: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-02 09:28:42,445: +PUB [/rosout_agg] /rosout http://ip-172-31-19-100:37459/
[rosmaster.master][INFO] 2017-10-02 09:28:42,454: +SUB [/rosout] /rosout http://ip-172-31-19-100:37459/
[rosmaster.master][INFO] 2017-10-02 09:28:42,720: +PUB [/two_ints] /two_int_talker_30274_1506961722652 http://ip-172-31-19-100:56954/
[rosmaster.master][INFO] 2017-10-02 09:28:42,814: +PUB [/rosout] /two_int_talker_30274_1506961722652 http://ip-172-31-19-100:56954/
[rosmaster.master][INFO] 2017-10-02 09:28:42,828: +SERVICE [/two_int_talker_30274_1506961722652/get_loggers] /two_int_talker_30274_1506961722652 http://ip-172-31-19-100:56954/
[rosmaster.master][INFO] 2017-10-02 09:28:42,832: +SERVICE [/two_int_talker_30274_1506961722652/set_logger_level] /two_int_talker_30274_1506961722652 http://ip-172-31-19-100:56954/
[rosmaster.master][INFO] 2017-10-02 09:28:42,833: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37459/
[rosmaster.master][INFO] 2017-10-02 09:29:51,867: +PUB [/rosout] /listener_30830_1506961791712 http://ip-172-31-19-100:49305/
[rosmaster.master][INFO] 2017-10-02 09:29:51,877: +SERVICE [/listener_30830_1506961791712/get_loggers] /listener_30830_1506961791712 http://ip-172-31-19-100:49305/
[rosmaster.master][INFO] 2017-10-02 09:29:51,881: +SERVICE [/listener_30830_1506961791712/set_logger_level] /listener_30830_1506961791712 http://ip-172-31-19-100:49305/
[rosmaster.master][INFO] 2017-10-02 09:29:51,892: +SUB [/two_ints] /listener_30830_1506961791712 http://ip-172-31-19-100:49305/
[rosmaster.master][INFO] 2017-10-02 09:29:51,953: publisherUpdate[/rosout] -> http://ip-172-31-19-100:37459/
